,serial_number,countries,total_cases,new_cases,total_death,new_deaths,total_recovered,active_cases,serious_critical,total_cases_permn,total_deaths_permn,total_tests,total_test_permillion,total_pop
32,25,Greece,5548487,,"34,779",,"5,486,424","+6,822","27,284",115,"537,819","3,371","102,228,365","9,909,078"
95,88,Venezuela,550146,,"5,830",,"542,645",,"1,671",36,"18,797",199,"3,359,014","114,771"
221,214,St. Barth,5382,,6,,N/A,N/A,N/A,,"541,176",603,"78,646","7,908,095"
33,26,Ukraine,5354738,,"110,766",,"5,234,641",+687,"9,331",,"123,975","2,564","32,603,805","754,855"
96,89,Egypt,515645,,"24,613",,"442,182",,"48,850",122,"4,857",232,"3,693,367","34,792"
156,149,Burundi,51018,,38,,"50,638",,342,,"4,041",3,"345,742","27,386"
97,90,Libya,507142,,"6,437",,"500,661",,44,,"72,030",914,"2,483,446","352,725"
157,150,Seychelles,50355,,172,,"50,026",,157,,"506,457","1,730",,
34,27,Malaysia,5023999,,"36,835",,"4,973,346",,"13,818",45,"151,412","1,110","67,068,731","2,021,295"
35,28,Chile,5012746,,"63,039",,"4,939,609",,"10,098",105,"260,400","3,275","47,589,623","2,472,163"
98,91,Ethiopia,497312,,"7,572",,"478,086",,"11,654",2,"4,116",63,"5,410,112","44,781"
158,151,Gabon,48973,,306,,"48,617",,50,,"21,005",131,"1,621,130","695,306"
99,92,Qatar,488772,+285,685,,"487,053",+258,"1,034",4,"164,022",230,"4,065,369","1,364,257"
100,93,Réunion,480501,,907,,"418,572",,"61,022",10,"529,151",999,"1,603,660","1,766,027"
36,29,DPRK,4772813,,74,,"4,772,739",,0,,"183,636",3,,
159,152,Andorra,47686,,165,,"47,188",,333,14,"615,597","2,130","249,838","3,225,256"
37,30,Israel,4758570,,"12,016",,"4,733,241",,"13,313",57,"510,248","1,288","41,373,364","4,436,346"
38,31,Thailand,4721808,,"33,594",,"4,649,509",,"38,705","1,496","67,379",479,"17,270,775","246,450"
39,32,Belgium,4668248,,"33,228",,"4,601,444",+858,"33,576",82,"400,080","2,848","36,317,596","3,112,507"
160,153,Papua New Guinea,46663,,669,,"43,982",,"2,012",7,"5,022",72,"249,149","26,813"
101,94,Honduras,463685,,"11,063",,N/A,N/A,N/A,105,"45,365","1,082","1,583,296","154,902"
222,215,Nauru,4621,,1,,"4,609",,11,,"423,828",92,"20,509","1,881,042"
161,154,Curaçao,45986,,295,,"44,720",,971,3,"277,812","1,782","496,693","3,000,640"
40,33,Czechia,4577506,+110,"42,087",+1,"4,529,901",+718,"5,518",29,"426,339","3,920","56,753,153","5,285,861"
41,34,Canada,4475268,,"48,948",,"4,359,631","+2,218","66,689",99,"116,579","1,275","66,343,123","1,728,207"
9,2,India,44678548,,"530,696",,"44,143,342",,"4,510",698,"31,763",377,"909,943,723","646,895"
102,95,Armenia,445976,,"8,716",,"435,162",,"2,098",,"150,061","2,933","3,242,901","1,091,164"
42,35,Peru,4444006,,"218,092",,"4,158,833",,"67,081",130,"131,931","6,475","37,251,800","1,105,913"
162,155,Aruba,43752,,236,,"42,438",,"1,078",2,"406,583","2,193","177,885","1,653,068"
43,36,Switzerland,4365574,,"14,364",,"4,297,740","+2,689","53,470",67,"497,579","1,637","23,194,219","2,643,626"
163,156,Tanzania,42228,,845,,N/A,N/A,N/A,7,667,13,,
233,226,Niue,421,+43,,,248,+26,173,,"259,556",,,
164,157,Mayotte,41969,,187,,N/A,N/A,N/A,,"146,612",653,"176,919","618,038"
165,158,Mauritius,41424,,"1,037",,"39,694",,693,,"32,496",814,"358,675","281,374"
237,230,China,407282,"+4,436","5,242",+1,"353,295","+1,647","48,745",928,281,4,"160,000,000","110,461"
44,37,Philippines,4062511,+289,"65,283",+21,"3,982,533","+1,076","14,695",162,"36,108",580,"33,979,611","302,017"
45,38,South Africa,4048281,,"102,568",,"3,912,506",,"33,207",192,"66,632","1,688","26,473,049","435,726"
103,96,Bosnia and Herzegovina,400941,+24,"16,224",+1,"378,698",+13,"6,019",,"123,392","4,993","1,881,839","579,149"
104,97,Oman,399154,,"4,260",,"384,669",,"10,225",2,"74,973",800,"25,000,000","4,695,724"
166,159,Togo,39341,,290,,"39,047",,4,,"4,532",33,"804,150","92,635"
10,3,France,39159757,,"161,152",,"38,022,929","+105,516","975,676",869,"597,088","2,457","271,490,188","4,139,547"
223,216,Anguilla,3904,,12,,"3,879",,13,4,"256,336",788,"51,382","3,373,736"
167,160,Guinea,38210,,466,,"37,292",,452,8,"2,756",34,"660,107","47,607"
168,161,Isle of Man,38008,,116,,N/A,N/A,N/A,,"443,335","1,353","150,753","1,758,422"
169,162,Bahamas,37491,,833,,"36,366",,292,1,"93,607","2,080","257,839","643,767"
11,4,Germany,37211937,,"160,768",,"36,504,600","+43,100","546,569","1,406","443,614","1,917","122,332,384","1,458,359"
12,5,Brazil,36202186,,"693,017",,"34,847,198",,"661,971","8,318","168,106","3,218","63,776,166","296,146"
170,163,Faeroe Islands,34658,,28,,N/A,N/A,N/A,5,"703,959",569,"778,000","15,802,409"
105,98,North Macedonia,345402,,"9,608",,"335,590",,204,,"165,955","4,616","2,203,434","1,058,680"
171,164,Lesotho,34490,,706,,"25,980",,"7,804",,"15,852",324,"431,221","198,199"
224,217,Kiribati,3430,,13,,"2,703",,714,3,"27,792",105,,
106,99,Kenya,342475,,"5,688",,"336,606",,181,1,"6,092",101,"3,956,558","70,382"
172,165,Haiti,33893,,860,,"32,934",,99,,"2,902",74,"132,422","11,337"
225,218,Saint Pierre Miquelon,3349,,2,,"2,449",,898,1,"581,525",347,"25,400","4,410,488"
107,100,Zambia,334108,+10,"4,022",,"329,888",+19,198,,"17,160",207,"3,779,851","194,135"
108,101,Albania,333751,,"3,595",,"328,534",,"1,622",,"116,437","1,254","1,941,032","677,173"
46,39,Romania,3308480,,"67,374",,"3,231,364",,"9,742",114,"173,844","3,540","26,021,132","1,367,278"
173,166,Mali,32768,,743,,"31,948",,77,,"1,526",35,"782,214","36,426"
109,102,Botswana,327511,,"2,794",,"323,747",,970,1,"134,162","1,145","2,026,898","830,300"
47,40,Denmark,3162257,,"7,701",,"3,146,995","+1,156","7,561",18,"541,951","1,320","128,974,186","22,103,735"
174,167,Cayman Islands,31472,,37,,"8,553",,"22,882",1,"467,797",550,"222,773","3,311,280"
110,103,Luxembourg,297757,,"1,133",,"288,991",,"7,633",,"463,528","1,764","4,412,567","6,869,188"
175,168,Saint Lucia,29550,,404,,"29,095",,51,,"159,632","2,182","210,983","1,139,752"
234,227,Vatican City,29,,,,29,,0,,"36,295",,,
13,6,S. Korea,28772196,"+87,596","31,882",+50,"27,579,723","+62,692","1,160,591",592,"560,535",621,"15,804,065","307,892"
14,7,Japan,28548004,"+202,853","55,813",+271,"21,047,727","+10,081","7,444,464",582,"227,320",444,"86,237,109","686,684"
111,104,Montenegro,284575,,"2,791",,"281,522",,262,6,"453,181","4,445","2,677,486","4,263,852"
226,219,Tuvalu,2805,,,,,,"2,805",,"232,471",,,
176,169,Benin,27982,,163,,"27,817",,2,5,"2,189",13,"604,310","47,268"
177,170,Somalia,27300,,"1,361",,"13,182",,"12,757",,"1,621",81,"400,466","23,778"
112,105,Algeria,271198,,"6,881",,"182,631",,"81,686",,"5,980",152,"230,861","5,091"
